iter	Passed	Remaining
405	7215	10555
406	7233	10538
407	7250	10519
408	7267	10501
409	7288	10488
410	7308	10473
411	7327	10457
412	7345	10439
413	7363	10422
414	7380	10404
415	7397	10384
416	7415	10367
417	7433	10349
418	7450	10330
419	7468	10313
420	7485	10295
421	7503	10277
422	7521	10259
423	7538	10241
424	7556	10224
425	7574	10205
426	7594	10190
427	7611	10172
428	7629	10154
429	7646	10136
430	7664	10119
431	7683	10101
432	7701	10084
433	7718	10065
434	7737	10050
435	7755	10032
436	7773	10015
437	7790	9996
438	7808	9978
439	7826	9960
440	7843	9942
441	7861	9924
442	7879	9906
443	7896	9889
444	7915	9871
445	7932	9853
446	7949	9834
447	7968	9818
448	7987	9802
449	8006	9785
450	8024	9767
451	8042	9750
452	8060	9732
453	8077	9714
454	8095	9696
455	8114	9680
456	8132	9663
457	8150	9645
458	8169	9628
459	8187	9611
460	8205	9593
461	8223	9575
462	8240	9557
463	8257	9538
464	8275	9521
465	8293	9503
466	8312	9487
467	8330	9469
468	8348	9451
469	8370	9438
470	8387	9419
471	8405	9402
472	8423	9384
473	8440	9366
474	8458	9348
475	8479	9334
476	8497	9316
477	8514	9298
478	8532	9280
479	8549	9262
480	8567	9243
481	8585	9226
482	8602	9208
483	8620	9190
484	8639	9173
485	8656	9155
486	8674	9137
487	8692	9119
488	8710	9102
489	8730	9087
490	8748	9069
491	8771	9056
492	8789	9038
493	8805	9019
494	8825	9003
495	8843	8985
496	8862	8969
497	8879	8951
498	8898	8933
499	8916	8916
500	8934	8898
501	8952	8881
502	8969	8862
503	8987	8844
504	9004	8826
505	9022	8808
506	9041	8792
507	9059	8773
508	9076	8755
509	9094	8738
510	9112	8719
511	9130	8702
512	9149	8686
513	9168	8669
514	9187	8652
515	9205	8634
516	9223	8617
517	9241	8599
518	9257	8580
519	9275	8562
520	9293	8544
521	9312	8527
522	9329	8509
523	9349	8493
524	9367	8475
525	9383	8456
526	9400	8437
527	9418	8419
528	9434	8400
529	9452	8382
530	9469	8364
531	9487	8345
532	9504	8327
533	9522	8309
534	9542	8293
535	9560	8276
536	9578	8258
537	9598	8242
538	9617	8225
539	9636	8208
540	9654	8191
541	9672	8173
542	9691	8156
543	9709	8138
544	9728	8122
545	9746	8104
546	9764	8086
547	9782	8068
548	9799	8050
549	9818	8033
550	9836	8015
551	9853	7996
552	9872	7979
553	9889	7961
554	9907	7943
555	9924	7925
556	9944	7909
557	9962	7891
558	9980	7874
559	9999	7856
560	10018	7839
561	10034	7820
562	10051	7802
563	10069	7784
564	10087	7766
565	10105	7748
566	10123	7731
567	10142	7713
568	10160	7696
569	10178	7678
570	10195	7660
571	10212	7641
572	10230	7623
573	10247	7605
574	10264	7586
575	10282	7569
576	10299	7550
577	10317	7532
578	10338	7517
579	10355	7499
580	10377	7483
581	10394	7465
582	10412	7447
583	10430	7430
584	10447	7411
585	10466	7394
586	10482	7375
