iter	Logloss
0	0.627230948
1	0.5702274166
2	0.5191201641
3	0.4783618476
4	0.4435433208
5	0.4153119462
6	0.3908463736
7	0.3710343409
8	0.353218501
9	0.3379147737
10	0.3230647743
11	0.3105735642
12	0.3008482503
13	0.2911561517
14	0.281832726
15	0.2734497304
16	0.2656857198
17	0.2592393834
18	0.2541512058
19	0.2492642256
20	0.2434854236
21	0.2395090663
22	0.2352515466
23	0.2316949479
24	0.2280252331
25	0.2245287496
26	0.2214272834
27	0.2190679442
28	0.2167234065
29	0.2147621643
30	0.2128184562
31	0.2111949885
32	0.2090082879
33	0.2073683752
34	0.2055669672
35	0.203266523
36	0.201821252
37	0.200507847
38	0.1993259413
39	0.1978192652
40	0.1963843814
41	0.1951773393
42	0.1936138864
43	0.1922212092
44	0.1911220646
45	0.1898687126
46	0.1887964383
47	0.1878587518
48	0.1870964224
49	0.1861171774
50	0.185235673
51	0.1844640019
52	0.1836470728
53	0.1828330477
54	0.1820822001
55	0.1813987183
56	0.1804903915
57	0.1796792944
58	0.1791334866
59	0.1785359034
60	0.1777643196
61	0.1770985336
62	0.176540957
63	0.1758003328
64	0.1753128733
65	0.1745115217
66	0.1737940541
67	0.1731231476
68	0.1727822257
69	0.1724062202
70	0.171784567
71	0.1712329282
72	0.1703472746
73	0.1698033798
74	0.1691666839
75	0.1687031537
76	0.1683609059
77	0.1680835369
78	0.1676129415
79	0.167310601
80	0.1668212207
81	0.1662552607
82	0.1658402602
83	0.1656192904
84	0.1650343175
85	0.1645034683
86	0.1640068243
87	0.1635398139
88	0.1630775704
89	0.162683951
90	0.1621753036
91	0.1616700644
92	0.1613338341
93	0.1610001128
94	0.1607092169
95	0.1603018262
96	0.159733415
97	0.1594894479
98	0.1589125168
99	0.1583039539
100	0.1578592566
101	0.1574298235
102	0.1570939173
103	0.1566698328
104	0.1564144199
105	0.1560596646
106	0.1556304072
107	0.1551656514
108	0.1548745056
109	0.1546870938
110	0.154367583
111	0.1540450144
112	0.1534869074
113	0.1530707688
114	0.1528517246
115	0.1525327508
116	0.1521076185
117	0.1516436737
118	0.1511535923
119	0.1507241881
120	0.1503863574
121	0.1501890594
122	0.1498784074
123	0.1494411883
124	0.1491668056
125	0.1489224462
126	0.1487756024
127	0.1483403308
128	0.1479157917
129	0.1477562472
130	0.1474736961
131	0.1471140172
132	0.1468950904
133	0.1466273626
134	0.1462526699
135	0.1459749266
136	0.1457331967
137	0.1454258677
138	0.1451767611
139	0.1449085389
140	0.144646929
141	0.1444107195
142	0.1441531279
143	0.1439477252
144	0.1436860695
145	0.1433435346
146	0.1430160496
147	0.1427846136
148	0.1424945214
149	0.1422749774
150	0.1419951802
151	0.1417645419
152	0.1416692787
153	0.1414327424
154	0.1412411977
155	0.1410084248
156	0.1408410982
157	0.1405224495
158	0.1402472304
159	0.1400732707
160	0.1397991832
161	0.1395387624
162	0.1392985467
163	0.1389836445
164	0.1386739529
165	0.1384683155
166	0.1382019153
167	0.1379605597
168	0.1376928805
169	0.1373692718
170	0.1372124584
171	0.1369661711
172	0.1366852853
173	0.1365642343
174	0.1363092989
175	0.1360024496
176	0.1358091261
177	0.1356827991
178	0.1353554112
179	0.1350616217
180	0.1348991454
181	0.1346949792
182	0.1345295563
183	0.1344235769
184	0.1341724868
185	0.1338849941
186	0.1337576151
187	0.1335081707
188	0.1331681541
189	0.1330107355
190	0.1326834764
191	0.1324935627
192	0.1323262039
193	0.1320827524
194	0.1319883901
195	0.1317557432
196	0.1316490452
197	0.1313940312
198	0.131075436
199	0.1308396724
200	0.1305699393
201	0.1303587002
202	0.1301508137
203	0.1299303852
204	0.1296643855
205	0.1294770506
206	0.129276376
207	0.1289902006
208	0.1287518991
209	0.1286638331
210	0.1284022953
211	0.1281819033
212	0.127915071
213	0.1277897845
214	0.1276196352
215	0.1274000284
216	0.1271735311
217	0.127000827
218	0.1268035568
